Salary_ID,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
1,"175873,0","0,0","0,0",M2
2,"145613,36","0,0","0,0",M3
3,"136970,0","0,0","0,0",M3
4,"89432,69","0,0","2490,0",21
5,"78947,0","456,68","6257,7",16
6,"98228,0","518,8","998,28",21
7,"82405,39","549,2","0,0",18
8,"93986,0","1187,06","2452,94",N20
9,"149464,15","0,0","9021,82",18
10,"117424,0","0,0","0,0",N25
11,"82808,28","11870,82","0,0",21
12,"65961,84","2092,7","0,0",13
13,"59288,86","1013,01","0,0",13
14,"139407,15","0,0","0,0",M3
15,"128531,0","0,0","0,0",N27
16,"152632,07","0,0","0,0",M3
17,"73955,3","3509,43","0,0",16
18,"110572,15","0,0","0,0",N26
19,"61240,0","5294,68","995,18",10
20,"61240,0","92,35","4827,4",10
21,"86103,0","23917,44","3665,64",N18
22,"61240,0","9580,78","459,3",10
23,"86103,0","3165,46","3665,65",N18
24,"75086,49","6857,37","0,0",15
25,"81931,25","24672,86","0,0",N18
26,"75621,0","2065,26","3471,32",15
27,"75621,0","4453,91","3572,85",15
28,"75621,0","10989,68","3436,83",15
29,"75621,0","6505,89","1228,89",15
30,"59047,23","7762,45","0,0",15
31,"75621,0","11987,31","1228,88",15
32,"61240,0","7037,7","2091,16",10
33,"72361,04","8085,91","0,0",15
34,"68944,39","4539,49","0,0",15
35,"75621,0","1662,14","0,0",15
36,"59288,84","1654,62","0,0",15
37,"44906,35","3194,01","0,0",10
38,"56493,0","689,42","0,0",10
39,"65434,17","2033,02","0,0",15
40,"53998,34","103,06","0,0",10
41,"60476,48","2079,74","0,0",15
42,"56997,16","7844,97","0,0",15
43,"52377,67","1949,38","0,0",10
44,"51025,24","855,92","0,0",10
45,"52591,03","5708,94","0,0",10
46,"54062,35","4107,44","0,0",10
47,"51547,64","9244,92","0,0",15
48,"49298,97","569,16","0,0",10
49,"43600,44","4195,08","0,0",10
50,"60263,82","5788,37","0,0",15
51,"68888,95","7059,41","0,0",15
52,"56884,17","0,0","0,0",15
53,"46425,47","2092,35","0,0",10
54,"69101,61","5227,31","0,0",15
55,"75621,0","11131,12","0,0",15
56,"59881,0","3328,4","0,0",15
57,"46638,13","0,0","0,0",10
58,"59006,72","2195,05","0,0",15
59,"68326,28","15420,99","0,0",15
60,"44693,41","1000,49","0,0",10
61,"43600,44","4196,09","0,0",10
62,"57714,47","7570,81","0,0",15
63,"49948,07","281,74","0,0",15
64,"55968,25","2535,85","0,0",15
65,"42126,03","3154,0","0,0",10
66,"42126,03","1182,87","0,0",10
67,"63480,16","11486,92","0,0",15
68,"42277,68","1472,07","0,0",10
69,"42277,68","2052,65","0,0",10
70,"52080,82","1791,42","0,0",15
71,"66572,0","3148,64","582,55",12
72,"69442,0","2440,69","2547,59",13
73,"86103,0","1969,09","0,0",N18
74,"55730,53","127,73","0,0",13
75,"76668,0","3226,55","0,0",12
76,"54582,52","8382,14","0,0",12
77,"59394,16","3619,49","0,0",13
78,"56662,73","12204,96","0,0",13
79,"46468,89","2123,38","0,0",12
80,"49825,95","4502,32","0,0",12
81,"93986,0","25509,32","0,0",N20
82,"46468,62","11466,39","0,0",12
83,"52641,58","10848,36","0,0",12
84,"52641,58","5098,25","0,0",12
85,"50039,03","3892,88","0,0",12
86,"51569,86","2546,11","0,0",12
87,"46468,63","3519,93","0,0",12
88,"49826,38","3714,56","0,0",12
89,"51073,58","3262,58","0,0",12
90,"46468,62","632,65","0,0",12
91,"45929,49","6845,84","0,0",12
92,"46681,28","1539,66","0,0",12
93,"45254,34","1368,58","0,0",12
94,"46862,73","2590,35","0,0",12
95,"43724,0","1330,0","0,0",12
96,"66572,0","5008,34","1907,4",12
97,"69442,0","940,73","5490,04",13
98,"69442,0","558,68","5490,04",13
